100
0	10000	
1	1000	
2	1000	
3	1000	
4	1000	
5	1000	
6	2000	
7	2000	
8	2000	
9	2000	
10	2000	
11	3000	
12	3000	
13	3000	
14	3000	
15	3000	
16	4000	
17	4000	
18	4000	
19	4000	
20	4000	
21	4000	
22	4000	
23	4000	
24	4000	
25	4000	
26	5000	
27	5000	
28	5000	
29	5000	
30	5000	
31	5000	
32	5000	
33	5000	
34	5000	
35	5000	
36	5000	
37	5000	
38	5000	
39	5000	
40	5000	
41	6000	
42	6000	
43	6000	
44	6000	
45	6000	
46	6000	
47	6000	
48	6000	
49	6000	
50	6000	
51	6000	
52	6000	
53	6000	
54	6000	
55	6000	
56	7000	
57	7000	
58	7000	
59	7000	
60	7000	
61	7000	
62	7000	
63	7000	
64	7000	
65	7000	
66	7000	
67	7000	
68	7000	
69	7000	
70	7000	
71	8000	
72	8000	
73	8000	
74	8000	
75	8000	
76	9000	
77	9000	
78	9000	
79	9000	
80	9000	
81	9000	
82	9000	
83	9000	
84	9000	
85	9000	
86	9000	
87	9000	
88	9000	
89	9000	
90	9000	
91	10000	
92	10000	
93	10000	
94	10000	
95	10000	
96	10000	
97	10000	
98	10000	
99	10000	
